ANSERIFORMES: Anatidae

Northern Shoveler	Spatula clypeata	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Eastern Spot-billed Duck	Anas zonorhyncha	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
APODIFORMES: Apodidae

White-rumped Swiftlet	Aerodramus spodiopygius	
Australian Swiftlet	Aerodramus terraereginae	
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Tongan Ground Dove	Pampusana stairi	Vulnerable
Tooth-billed Pigeon	Didunculus strigirostris	Critically endangered
Many-colored Fruit Dove	Ptilinopus perousii	
Crimson-crowned Fruit Dove	Ptilinopus porphyraceus	
Pacific Imperial Pigeon	Ducula pacifica	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Hypotaenidia philippensis	
Samoan Woodhen	Gallinula pacifica	Endemic Critically endangered (possibly extinct)
Black-backed Swamphen	Porphyrio indicus	
Australasian Swamphen	Porphyrio melanotus	
Spotless Crake	Zapornia tabuensis	
White-browed Crake	Poliolimnas cinereus	
 
CHARADRIIFORMES: Charadriidae

Masked Lapwing	Vanellus miles	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	Rare/Accidental
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Rare/Accidental Endangered
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental
Red-necked Stint	Calidris ruficollis	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental Near-threatened
Wood Sandpiper	Tringa glareola	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
White Tern	Gygis alba	
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	
Little Tern	Sternula albifrons	Rare/Accidental
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	Rare/Accidental
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

White-faced Storm Petrel	Pelagodroma marina	Rare/Accidental
