
 
ANSERIFORMES: Anatidae

Australian Shelduck	Tadorna tadornoides	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Extirpated
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Extirpated
Red Junglefowl	Gallus gallus	Introduced species
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Polynesian Ground Dove	Pampusana erythroptera	Extirpated Critically endangered
Pacific Imperial Pigeon	Ducula pacifica	
Nuku Hiva Imperial Pigeon	Ducula galeata	Extirpated Endangered
Lilac-crowned Fruit Dove	Ptilinopus rarotongensis	Endemic Near-threatened
 
GRUIFORMES: Rallidae

Spotless Crake	Zapornia tabuensis	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Masked Lapwing	Vanellus miles	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Spotted Sandpiper	Actitis macularius	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Little White Tern	Gygis microrhyncha	Extirpated
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	Rare/Accidental
Grey Noddy	Anous albivitta	
Blue Noddy	Anous ceruleus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Diomedeidae

Northern Royal Albatross	Diomedea sanfordi	Endangered
Southern Royal Albatross	Diomedea epomophora	Vulnerable
Snowy Albatross	Diomedea exulans	Rare/Accidental Vulnerable
Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
Polynesian Storm Petrel	Nesofregetta fuliginosa	Endangered
White-faced Storm Petrel	Pelagodroma marina	Rare/Accidental
White-bellied Storm Petrel	Fregetta grallaria	
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Hydrobates leucorhous	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Northern Giant Petrel	Macronectes halli	Rare/Accidental
Bulwer's Petrel	Bulweria bulwerii	
Tahiti Petrel	Pseudobulweria rostrata	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	Rare/Accidental
Buller's Shearwater	Ardenna bulleri	Vulnerable
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Near-threatened
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
Cook's Petrel	Pterodroma cookii	Rare/Accidental Vulnerable
Gould's Petrel	Pterodroma leucoptera	Vulnerable
Collared Petrel	Pterodroma brevipes	Vulnerable
Black-winged Petrel	Pterodroma nigripennis	
White-necked Petrel	Pterodroma cervicalis	Rare/Accidental Vulnerable
Mottled Petrel	Pterodroma inexpectata	Near-threatened
Murphy's Petrel	Pterodroma ultima	
Phoenix Petrel	Pterodroma alba	Rare/Accidental Vulnerable
Kermadec Petrel	Pterodroma neglecta	Rare/Accidental
Herald Petrel	Pterodroma heraldica	
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Ardeidae

Pacific Reef Heron	Egretta sacra	
Little Heron	Butorides atricapilla	
 
APODIFORMES: Apodidae

Atiu Swiftlet	Aerodramus sawtelli	Endemic Vulnerable
 
ACCIPITRIFORMES: Accipitridae

Eastern Marsh Harrier	Circus spilonotus	Rare/Accidental
 
CORACIIFORMES: Alcedinidae

Mewing Kingfisher	Todiramphus ruficollaris	Endemic
Chattering Kingfisher	Todiramphus tutus	Near-threatened
 
PSITTACIFORMES: Psittaculidae

Kuhl's Lorikeet	Vini kuhlii	Introduced species Endangered
Blue Lorikeet	Vini peruviana	Introduced species Vulnerable
 
PASSERIFORMES: Monarchidae

Rarotonga Monarch	Pomarea dimidiata	Endemic Vulnerable
 
PASSERIFORMES: Acrocephalidae

Cook Reed Warbler	Acrocephalus kerearako	Endemic
 
PASSERIFORMES: Sturnidae

Rarotonga Starling	Aplonis cinerascens	Endemic Near-threatened
Mauke Starling	Aplonis mavornata	Endemic Extinct
Common Myna	Acridotheres tristis	Introduced species
Jungle Myna	Acridotheres fuscus	Rare/Accidental
 
PASSERIFORMES: Estrildidae

Chestnut-breasted Mannikin	Lonchura castaneothorax	
