
 
ANSERIFORMES: Anatidae

Pacific Black Duck	Anas superciliosa	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Metallic Pigeon	Columba vitiensis	
Rock Dove	Columba livia	Introduced species
Shy Ground Dove	Pampusana stairi	
Tooth-billed Pigeon	Didunculus strigirostris	Endemic Critically endangered
Pacific Imperial Pigeon	Ducula pacifica	
Many-colored Fruit Dove	Ptilinopus perousii	
Crimson-crowned Fruit Dove	Ptilinopus porphyraceus	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Gallirallus philippensis	
Samoan Woodhen	Gallinula pacifica	Endemic Critically endangered (possibly extinct)
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	
Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Rare/Accidental Endangered
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental Near-threatened
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Red-necked Stint	Calidris ruficollis	Rare/Accidental Near-threatened
Sanderling	Calidris alba	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	Rare/Accidental
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	
Common Tern	Sterna hirundo	Rare/Accidental
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Polynesian Storm Petrel	Nesofregetta fuliginosa	Endangered
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	Rare/Accidental Vulnerable
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Near-threatened
Flesh-footed Shearwater	Ardenna carneipes	Rare/Accidental Near-threatened
Tropical Shearwater	Puffinus bailloni	
Newell's Shearwater	Puffinus newelli	Rare/Accidental Critically endangered
Stejneger's Petrel	Pterodroma longirostris	Rare/Accidental Vulnerable
Gould's Petrel	Pterodroma leucoptera	Rare/Accidental Vulnerable
Collared Petrel	Pterodroma brevipes	Rare/Accidental Vulnerable
Black-winged Petrel	Pterodroma nigripennis	Rare/Accidental
Mottled Petrel	Pterodroma inexpectata	Near-threatened
Herald Petrel	Pterodroma heraldica	Rare/Accidental
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	Rare/Accidental
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Ardeidae

White-faced Heron	Egretta novaehollandiae	Rare/Accidental
Pacific Reef Heron	Egretta sacra	
 
APODIFORMES: Apodidae

White-rumped Swiftlet	Aerodramus spodiopygius	
 
STRIGIFORMES: Tytonidae

Eastern Barn Owl	Tyto javanica	
 
CORACIIFORMES: Alcedinidae

Pacific Kingfisher	Todiramphus sacer	Rare/Accidental
Flat-billed Kingfisher	Todiramphus recurvirostris	Endemic
Collared Kingfisher	Todiramphus chloris	Rare/Accidental
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Blue-crowned Lorikeet	Vini australis	
 
PASSERIFORMES: Meliphagidae

Samoan Myzomela	Myzomela nigriventris	Endemic (country/region)
Mao	Gymnomyza samoensis	Endemic Endangered
Polynesian Wattled Honeyeater	Foulehaio carunculatus	
 
PASSERIFORMES: Campephagidae

Polynesian Triller	Lalage maculosa	
Samoan Triller	Lalage sharpei	Endemic Near-threatened
 
PASSERIFORMES: Pachycephalidae

Samoan Whistler	Pachycephala flavifrons	Endemic
 
PASSERIFORMES: Rhipiduridae

Samoan Fantail	Rhipidura nebulosa	Endemic
 
PASSERIFORMES: Monarchidae

Samoan Flycatcher	Myiagra albiventris	Endemic
 
PASSERIFORMES: Petroicidae

Pacific Robin	Petroica pusilla	
 
PASSERIFORMES: Hirundinidae

Pacific Swallow	Hirundo javanica	Rare/Accidental
 
PASSERIFORMES: Pycnonotidae

Red-vented Bulbul	Pycnonotus cafer	Introduced species
 
PASSERIFORMES: Zosteropidae

Samoan White-eye	Zosterops samoensis	Endemic Near-threatened
 
PASSERIFORMES: Sturnidae

Polynesian Starling	Aplonis tabuensis	
Samoan Starling	Aplonis atrifusca	Endemic (country/region)
Common Myna	Acridotheres tristis	Introduced species
Jungle Myna	Acridotheres fuscus	Introduced species
 
PASSERIFORMES: Turdidae

Samoan Island Thrush	Turdus samoensis	
 
PASSERIFORMES: Estrildidae

Royal Parrotfinch	Erythrura cyaneovirens	
