
 
TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Cinereous Tinamou	Crypturellus cinereus	
Little Tinamou	Crypturellus soui	
Variegated Tinamou	Crypturellus variegatus	
Rusty Tinamou	Crypturellus brevirostris	Rare/Accidental
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	Extirpated
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Muscovy Duck	Cairina moschata	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
 
GALLIFORMES: Cracidae

Little Chachalaca	Ortalis motmot	
Marail Guan	Penelope marail	
Blue-throated Piping Guan	Pipile cumanensis	
Black Curassow	Crax alector	
 
GALLIFORMES: Odontophoridae

Crested Bobwhite	Colinus cristatus	Rare/Accidental
Marbled Wood Quail	Odontophorus gujanensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Nacunda Nighthawk	Chordeiles nacunda	
Lesser Nighthawk	Chordeiles acutipennis	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Band-tailed Nighthawk	Nyctiprogne leucopyga	Rare/Accidental
Blackish Nightjar	Nyctipolus nigrescens	
Pauraque	Nyctidromus albicollis	
Cayenne Nightjar	Setopagis maculosa	Endemic
White-tailed Nightjar	Hydropsalis cayennensis	Rare/Accidental
Spot-tailed Nightjar	Hydropsalis maculicaudus	
Ladder-tailed Nightjar	Hydropsalis climacocerca	Rare/Accidental
Rufous Nightjar	Antrostomus rufus	Rare/Accidental
 
STEATORNITHIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	Rare/Accidental
 
NYCTIBIIFORMES: Nyctibiidae

Rufous Potoo	Phyllaemulor bracteatus	Rare/Accidental
Great Potoo	Nyctibius grandis	
Long-tailed Potoo	Nyctibius aethereus	Rare/Accidental
Common Potoo	Nyctibius griseus	Rare/Accidental
White-winged Potoo	Nyctibius leucopterus	Rare/Accidental
 
APODIFORMES: Apodidae

White-chinned Swift	Cypseloides cryptus	Rare/Accidental
American Black Swift	Cypseloides niger	Rare/Accidental
White-collared Swift	Streptoprocne zonaris	
Band-rumped Swift	Chaetura spinicaudus	
Chapman's Swift	Chaetura chapmani	
Sick's Swift	Chaetura meridionalis	Rare/Accidental
Short-tailed Swift	Chaetura brachyura	
White-tipped Swift	Aeronautes montivagus	Rare/Accidental
Fork-tailed Palm Swift	Tachornis squamata	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	Rare/Accidental
 
APODIFORMES: Trochilidae

Crimson Topaz	Topaza pella	
White-necked Jacobin	Florisuga mellivora	
Rufous-breasted Hermit	Glaucis hirsutus	
Sooty Barbthroat	Threnetes niger	Rare/Accidental
Little Hermit	Phaethornis longuemareus	
Reddish Hermit	Phaethornis ruber	
Sooty-capped Hermit	Phaethornis augusti	Rare/Accidental
Straight-billed Hermit	Phaethornis bourcieri	
Long-tailed Hermit	Phaethornis superciliosus	
Great-billed Hermit	Phaethornis malaris	
Brown Violetear	Colibri delphinae	Rare/Accidental
Black-eared Fairy	Heliothryx auritus	
White-tailed Goldenthroat	Polytmus guainumbi	Rare/Accidental
Green-tailed Goldenthroat	Polytmus theresiae	
Fiery-tailed Awlbill	Avocettula recurvirostris	Rare/Accidental
Ruby-topaz Hummingbird	Chrysolampis mosquitus	
Green-throated Mango	Anthracothorax viridigula	Rare/Accidental
Black-throated Mango	Anthracothorax nigricollis	
Racket-tailed Coquette	Discosura longicaudus	
Tufted Coquette	Lophornis ornatus	Rare/Accidental
Long-billed Starthroat	Heliomaster longirostris	Rare/Accidental
Amethyst Woodstar	Calliphlox amethystina	Rare/Accidental
Blue-tailed Emerald	Chlorostilbon mellisugus	
Grey-breasted Sabrewing	Campylopterus largipennis	
Fork-tailed Woodnymph	Thalurania furcata	
Copper-tailed Hummingbird	Saucerottia cupreicauda	Rare/Accidental
White-chested Emerald	Chrysuronia brevirostris	Rare/Accidental
Plain-bellied Emerald	Chrysuronia leucogaster	
Glittering-throated Emerald	Chionomesa fimbriata	
Rufous-throated Sapphire	Hylocharis sapphirina	
White-chinned Sapphire	Chlorestes cyanus	
Blue-chinned Sapphire	Chlorestes notata	
 
CUCULIFORMES: Cuculidae

Greater Ani	Crotophaga major	
Smooth-billed Ani	Crotophaga ani	
Striped Cuckoo	Tapera naevia	
Pavonine Cuckoo	Dromococcyx pavoninus	Rare/Accidental
Little Cuckoo	Coccycua minuta	
Squirrel Cuckoo	Piaya cayana	
Black-bellied Cuckoo	Piaya melanogaster	
Dark-billed Cuckoo	Coccyzus melacoryphus	
Yellow-billed Cuckoo	Coccyzus americanus	
Pearly-breasted Cuckoo	Coccyzus euleri	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Scaled Pigeon	Patagioenas speciosa	
Pale-vented Pigeon	Patagioenas cayennensis	
Plumbeous Pigeon	Patagioenas plumbea	
Ruddy Pigeon	Patagioenas subvinacea	
Eurasian Collared Dove	Streptopelia decaocto	Rare/Accidental
Common Ground Dove	Columbina passerina	
Plain-breasted Ground Dove	Columbina minuta	
Ruddy Ground Dove	Columbina talpacoti	
Blue Ground Dove	Claravis pretiosa	Rare/Accidental
Ruddy Quail-Dove	Geotrygon montana	Rare/Accidental
White-tipped Dove	Leptotila verreauxi	
Grey-fronted Dove	Leptotila rufaxilla	
Eared Dove	Zenaida auriculata	Rare/Accidental
 
GRUIFORMES: Heliornithidae

Sungrebe	Heliornis fulica	Rare/Accidental
 
GRUIFORMES: Rallidae

Ash-throated Crake	Mustelirallus albicollis	
Paint-billed Crake	Neocrex erythrops	Rare/Accidental
Spotted Rail	Pardirallus maculatus	Rare/Accidental
Uniform Crake	Amaurolimnas concolor	Rare/Accidental
Rufous-necked Wood Rail	Aramides axillaris	Rare/Accidental
Little Wood Rail	Aramides mangle	Rare/Accidental
Grey-cowled Wood Rail	Aramides cajaneus	
Mangrove Rail	Rallus longirostris	Rare/Accidental
Common Gallinule	Gallinula galeata	
Purple Gallinule	Porphyrio martinica	
Azure Gallinule	Porphyrio flavirostris	
Ocellated Crake	Micropygia schomburgkii	
Russet-crowned Crake	Rufirallus viridis	
Yellow-breasted Crake	Laterallus flaviventer	
Rufous-sided Crake	Laterallus melanophaius	Rare/Accidental
Grey-breasted Crake	Laterallus exilis	
 
GRUIFORMES: Psophiidae

Grey-winged Trumpeter	Psophia crepitans	Rare/Accidental
 
GRUIFORMES: Aramidae

