ANSERIFORMES: Anatidae
Common Pochard	Aythya ferina	Rare/AccidentalVulnerable
Tufted Duck	Aythya fuligula	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Pacific Black Duck	Anas superciliosa	
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Megapodiidae
Micronesian Megapode	Megapodius laperouse	Near-threatened
GALLIFORMES: Phasianidae
Red Junglefowl	Gallus gallus	Introduced species
CUCULIFORMES: Cuculidae
Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Long-tailed Koel	Urodynamis taitensis	Rare/Accidental
Channel-billed Cuckoo	Scythrops novaehollandiae	Rare/Accidental
Sahul Brush Cuckoo	Cacomantis variolosus	Rare/Accidental
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	
COLUMBIFORMES: Columbidae
Palau Ground Dove	Pampusana canifrons	EndemicEndangered
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Micronesian Imperial Pigeon	Ducula oceanica	Endemic (country/region)Vulnerable
Palau Fruit Dove	Ptilinopus pelewensis	Endemic
GRUIFORMES: Rallidae
Buff-banded Rail	Gallirallus philippensis	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	
White-breasted Waterhen	Amaurornis phoenicurus	Rare/Accidental
Pale-vented Bush-hen	Amaurornis moluccana	Rare/Accidental
Red-legged Crake	Rallina fasciata	Rare/Accidental
Slaty-legged Crake	Rallina eurizonoides	
CHARADRIIFORMES: Recurvirostridae
Black-necked Stilt	Himantopus mexicanus	
Black-winged Stilt	Himantopus himantopus	
Pied Stilt	Himantopus leucocephalus	Rare/Accidental
CHARADRIIFORMES: Charadriidae
